InvoiceNo,CustomerID,Country,InvoiceDate,YearMonth,YearQuarter,NumLineItems,NumItems,NumUniqueProducts,InvoiceValue,AvgItemPrice,AvgCustomerAge,FamilySize,Profession,MaritalStatus,Education,DominantTimeOfDay,BasketValueBand
537822,13523,United Kingdom,2010-12-08T14:22:00Z,2010-12,2010-Q4,30,365,30,566.95,3.380333333333333,42.96666666666667,4,Pharmacist,Widow,Postgrad,Afternoon,High Value
537825,15005,United Kingdom,2010-12-08T14:36:00Z,2010-12,2010-Q4,28,118,28,222.5,2.9,42.607142857142854,3,Pharmacist,Married,Postgrad,Afternoon,Medium Value
537826,15581,United Kingdom,2010-12-08T14:38:00Z,2010-12,2010-Q4,21,104,21,272.34000000000003,3.197142857142857,45.476190476190474,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
537827,15332,Lithuania,2010-12-08T14:43:00Z,2010-12,2010-Q4,1,30,1,63,2.1,43,4,Pharmacist,Widow,Postgrad,Afternoon,Low Value
537828,15680,United Kingdom,2010-12-08T14:43:00Z,2010-12,2010-Q4,30,331,30,478.89,2.1813333333333333,44.36666666666667,3,Doctor,Married,Postgrad,Afternoon,High Value
537829,15498,United Kingdom,2010-12-08T14:46:00Z,2010-12,2010-Q4,19,260,19,525.8,3.1163157894736844,44.05263157894737,2,Designer,Single,Undergrad,Afternoon,High Value
537830,13649,United Kingdom,2010-12-08T14:46:00Z,2010-12,2010-Q4,15,67,15,197.8,3.52,48.13333333333333,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
537831,17894,United Kingdom,2010-12-08T14:50:00Z,2010-12,2010-Q4,11,39,11,106.77000000000001,3.0245454545454544,41.18181818181818,5,Unknown,Single,Postgrad,Afternoon,Medium Value
537833,13270,United Kingdom,2010-12-08T14:53:00Z,2010-12,2010-Q4,1,200,1,590,2.95,53,5,Business,Widow,Undergrad,Afternoon,High Value
537836,14866,United Kingdom,2010-12-08T14:58:00Z,2010-12,2010-Q4,1,144,1,103.67999999999999,0.72,40,3,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
537837,13077,United Kingdom,2010-12-08T14:59:00Z,2010-12,2010-Q4,14,303,14,313.72,2.3942857142857146,44.714285714285715,5,Pharmacist,Widow,Postgrad,Afternoon,High Value
537840,13531,United Kingdom,2010-12-08T15:03:00Z,2010-12,2010-Q4,15,103,15,305.45,4.84,42.6,4,Pharmacist,Widow,Postgrad,Afternoon,High Value
537841,13848,United Kingdom,2010-12-08T15:10:00Z,2010-12,2010-Q4,1,1000,1,320,0.32,36,3,Engineer,Married,Postgrad,Afternoon,High Value
537842,13140,United Kingdom,2010-12-08T15:12:00Z,2010-12,2010-Q4,16,75,15,159.51,2.156875,41.125,4,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
537843,15713,United Kingdom,2010-12-08T15:16:00Z,2010-12,2010-Q4,9,59,9,171.15,6.288888888888889,45.666666666666664,4,Doctor,Married,Postgrad,Afternoon,Medium Value
537844,17999,United Kingdom,2010-12-08T15:17:00Z,2010-12,2010-Q4,38,94,37,190.34,3.6326315789473687,39.921052631578945,5,Doctor,Widow,Postgrad,Afternoon,Medium Value
537845,17690,United Kingdom,2010-12-08T15:23:00Z,2010-12,2010-Q4,4,12,4,71.4,5.95,41.25,5,Pharmacist,Widow,Postgrad,Afternoon,Low Value
537846,15347,United Kingdom,2010-12-08T15:25:00Z,2010-12,2010-Q4,5,130,5,201.60000000000002,2.27,38.8,4,Doctor,Widow,Postgrad,Afternoon,Medium Value
537847,14766,United Kingdom,2010-12-08T15:33:00Z,2010-12,2010-Q4,6,64,6,180.4,5.166666666666667,43.166666666666664,3,Doctor,Widow,Postgrad,Afternoon,Medium Value
537848,13777,United Kingdom,2010-12-08T15:35:00Z,2010-12,2010-Q4,1,144,1,180,1.25,68,2,Unknown,Single,Postgrad,Afternoon,Medium Value
537849,13777,United Kingdom,2010-12-08T15:35:00Z,2010-12,2010-Q4,1,60,1,75,1.25,40,4,Pharmacist,Widow,Postgrad,Afternoon,Low Value
537850,16722,United Kingdom,2010-12-08T15:38:00Z,2010-12,2010-Q4,25,316,25,318.84,1.1312,41.68,5,Pharmacist,Widow,Postgrad,Afternoon,High Value
537851,13758,United Kingdom,2010-12-08T15:39:00Z,2010-12,2010-Q4,7,264,7,356.4,1.5642857142857143,44.57142857142857,4,Pharmacist,Widow,Postgrad,Afternoon,High Value
537852,17340,United Kingdom,2010-12-08T15:56:00Z,2010-12,2010-Q4,86,1665,86,2671.27,2.562790697674419,42.48837209302326,5,Unknown,Single,Postgrad,Afternoon,Very High Value
537854,13984,United Kingdom,2010-12-08T15:58:00Z,2010-12,2010-Q4,5,120,5,154.8,1.31,32.6,4,Doctor,Married,Postgrad,Afternoon,Medium Value
537855,15996,United Kingdom,2010-12-08T15:59:00Z,2010-12,2010-Q4,32,95,31,263.25,3.7246875,45.84375,3,Doctor,Widow,Postgrad,Afternoon,Medium Value
537859,14030,United Kingdom,2010-12-08T16:11:00Z,2010-12,2010-Q4,26,96,26,670.55,15.684615384615384,40.30769230769231,4,Pharmacist,Married,Postgrad,Afternoon,High Value
537861,16596,United Kingdom,2010-12-08T16:18:00Z,2010-12,2010-Q4,6,47,6,120.65,4.2,40.833333333333336,3,Doctor,Married,Postgrad,Afternoon,Medium Value
537862,12971,United Kingdom,2010-12-08T16:21:00Z,2010-12,2010-Q4,7,71,7,111.53,2.3742857142857146,39.714285714285715,3,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
537863,14030,United Kingdom,2010-12-08T16:29:00Z,2010-12,2010-Q4,1,1,1,5.95,5.95,36,3,Pharmacist,Widow,Postgrad,Afternoon,Low Value
537864,16700,United Kingdom,2010-12-08T16:34:00Z,2010-12,2010-Q4,14,238,14,336.94,1.887142857142857,45.5,4,Doctor,Married,Postgrad,Afternoon,High Value
537865,16011,United Kingdom,2010-12-08T16:34:00Z,2010-12,2010-Q4,22,125,22,237.95,2.6227272727272726,42.18181818181818,5,Doctor,Widow,Postgrad,Afternoon,Medium Value
537866,17655,United Kingdom,2010-12-08T16:45:00Z,2010-12,2010-Q4,9,274,9,676.1,4.343333333333334,45.666666666666664,1,Unknown,Single,Undergrad,Afternoon,High Value
537867,16717,United Kingdom,2010-12-08T16:48:00Z,2010-12,2010-Q4,15,75,15,307.25,4.71,43.46666666666667,3,Pharmacist,Married,Postgrad,Afternoon,High Value
537868,12433,Norway,2010-12-08T16:49:00Z,2010-12,2010-Q4,74,1730,74,1867.98,1.84,42.067567567567565,5,Pharmacist,Married,Postgrad,Afternoon,Very High Value
537871,12748,United Kingdom,2010-12-08T17:20:00Z,2010-12,2010-Q4,25,123,24,167.09,2.1304,43.4,5,Pharmacist,Married,Postgrad,Evening,Medium Value
537879,14243,United Kingdom,2010-12-09T08:34:00Z,2010-12,2010-Q4,8,56,8,213.3,4.3812500000000005,40.5,3,Doctor,Widow,Postgrad,Morning,Medium Value
537880,12963,United Kingdom,2010-12-09T09:14:00Z,2010-12,2010-Q4,16,172,16,365.8,2.840625,43.625,3,Pharmacist,Widow,Postgrad,Morning,High Value
537881,15513,United Kingdom,2010-12-09T09:23:00Z,2010-12,2010-Q4,12,238,12,956.5,5.516666666666667,40.583333333333336,5,Pharmacist,Married,Postgrad,Morning,High Value
537882,15079,United Kingdom,2010-12-09T09:25:00Z,2010-12,2010-Q4,4,45,4,141.95,4.1,40,3,Doctor,Widow,Postgrad,Morning,Medium Value
537883,14437,United Kingdom,2010-12-09T09:27:00Z,2010-12,2010-Q4,5,60,5,63,1.05,40.2,5,Unknown,Single,Postgrad,Morning,Low Value
537884,15694,United Kingdom,2010-12-09T09:30:00Z,2010-12,2010-Q4,6,111,6,525.93,5.48,42.666666666666664,3,Pharmacist,Widow,Postgrad,Morning,High Value
537885,12942,United Kingdom,2010-12-09T09:34:00Z,2010-12,2010-Q4,16,69,16,258.75,5.471875,42.125,1,Artist,Single,Undergrad,Morning,Medium Value
537886,15660,United Kingdom,2010-12-09T09:49:00Z,2010-12,2010-Q4,10,110,10,209.3,2.77,39.5,5,Doctor,Widow,Postgrad,Morning,Medium Value
537887,18092,United Kingdom,2010-12-09T10:00:00Z,2010-12,2010-Q4,10,532,10,1485.72,3.7119999999999997,43.4,3,Pharmacist,Widow,Postgrad,Morning,Very High Value
537888,15358,United Kingdom,2010-12-09T10:04:00Z,2010-12,2010-Q4,35,440,35,524.35,2.125714285714286,43.02857142857143,2,Unknown,Single,Postgrad,Morning,High Value
537889,13319,United Kingdom,2010-12-09T10:04:00Z,2010-12,2010-Q4,27,260,27,670.48,3.7403703703703703,39.81481481481482,3,Pharmacist,Married,Postgrad,Morning,High Value
537890,15358,United Kingdom,2010-12-09T10:04:00Z,2010-12,2010-Q4,6,36,6,100.19999999999999,2.783333333333333,46.666666666666664,5,Doctor,Married,Postgrad,Morning,Medium Value
537891,13319,United Kingdom,2010-12-09T10:05:00Z,2010-12,2010-Q4,5,36,5,88.8,2.67,43,4,Doctor,Married,Postgrad,Morning,Low Value
537892,12481,Germany,2010-12-09T10:13:00Z,2010-12,2010-Q4,10,85,10,159.38,4.567,41.3,1,Freelancer,Single,Undergrad,Morning,Medium Value
537894,12621,Germany,2010-12-09T10:16:00Z,2010-12,2010-Q4,14,227,14,464.61,3.625714285714286,40.92857142857143,3,Pharmacist,Married,Postgrad,Morning,High Value
537895,14299,United Kingdom,2010-12-09T10:30:00Z,2010-12,2010-Q4,5,92,5,429.24,4.058,47.4,4,Unknown,Single,Postgrad,Morning,High Value
537896,18071,United Kingdom,2010-12-09T10:33:00Z,2010-12,2010-Q4,14,157,14,258.95,2.6892857142857145,45.357142857142854,3,Pharmacist,Married,Postgrad,Morning,Medium Value
537897,12683,France,2010-12-09T10:37:00Z,2010-12,2010-Q4,13,107,13,213.88,4.1838461538461535,45.15384615384615,1,Freelancer,Single,Undergrad,Morning,Medium Value
537898,17377,United Kingdom,2010-12-09T10:42:00Z,2010-12,2010-Q4,20,87,20,364.4,3.725,42.85,4,Pharmacist,Married,Postgrad,Morning,High Value
537899,12755,Japan,2010-12-09T10:44:00Z,2010-12,2010-Q4,1,1488,1,3794.3999999999996,2.55,47,4,Pharmacist,Widow,Postgrad,Morning,Very High Value
537900,15983,United Kingdom,2010-12-09T10:45:00Z,2010-12,2010-Q4,24,231,24,382.66,1.9354166666666668,39.583333333333336,3,Doctor,Widow,Postgrad,Morning,High Value
537901,13854,United Kingdom,2010-12-09T10:48:00Z,2010-12,2010-Q4,3,68,3,309.4,6.25,50.666666666666664,4,Doctor,Widow,Postgrad,Morning,High Value
537915,12797,Portugal,2010-12-09T10:55:00Z,2010-12,2010-Q4,13,118,13,254.03,5.1438461538461535,39.38461538461539,4,Doctor,Widow,Postgrad,Morning,Medium Value
537955,16782,United Kingdom,2010-12-09T11:28:00Z,2010-12,2010-Q4,50,89,46,371.7,3.346,41.32,3,Pharmacist,Married,Postgrad,Morning,High Value
537963,13369,United Kingdom,2010-12-09T11:30:00Z,2010-12,2010-Q4,14,149,14,308.28000000000003,6.5442857142857145,45.785714285714285,2,Consultant,Married,Postgrad,Morning,High Value
537967,12494,France,2010-12-09T11:31:00Z,2010-12,2010-Q4,3,9,3,57.6,10.633333333333333,38.333333333333336,4,Pharmacist,Widow,Postgrad,Morning,Low Value
537981,17857,United Kingdom,2010-12-09T11:35:00Z,2010-12,2010-Q4,4,2154,4,1335.2,0.855,40.25,3,Pharmacist,Widow,Postgrad,Morning,Very High Value
537995,12712,Germany,2010-12-09T11:39:00Z,2010-12,2010-Q4,11,84,11,295.1,5.368181818181818,38.81818181818182,3,Doctor,Widow,Postgrad,Morning,Medium Value
538000,12748,United Kingdom,2010-12-09T11:44:00Z,2010-12,2010-Q4,2,17,2,101.9,6.725,29,4,Pharmacist,Married,Postgrad,Morning,Medium Value
538002,14932,Channel Islands,2010-12-09T11:48:00Z,2010-12,2010-Q4,17,80,17,363.53,9.449411764705882,44.705882352941174,5,Pharmacist,Widow,Postgrad,Morning,High Value
538003,12429,Denmark,2010-12-09T12:05:00Z,2010-12,2010-Q4,20,454,20,1281.5,4.6485,41.6,3,Pharmacist,Married,Postgrad,Afternoon,Very High Value
538005,13090,United Kingdom,2010-12-09T12:12:00Z,2010-12,2010-Q4,3,120,3,832.8,5.9,42.333333333333336,5,Pharmacist,Married,Postgrad,Afternoon,High Value
538006,14987,United Kingdom,2010-12-09T12:13:00Z,2010-12,2010-Q4,2,64,2,163.2,2.55,32.5,5,Unknown,Married,Undergrad,Afternoon,Medium Value
538007,14355,United Kingdom,2010-12-09T12:16:00Z,2010-12,2010-Q4,11,92,11,174.4,2.85,40.90909090909091,5,Doctor,Widow,Postgrad,Afternoon,Medium Value
538008,12683,France,2010-12-09T12:17:00Z,2010-12,2010-Q4,41,557,41,849.2,2.4534146341463416,42.8780487804878,5,Pharmacist,Married,Postgrad,Afternoon,High Value
538009,14911,Eire,2010-12-09T12:17:00Z,2010-12,2010-Q4,32,287,32,945.55,5.3015625,42.53125,3,Pharmacist,Widow,Postgrad,Afternoon,High Value
538010,17526,United Kingdom,2010-12-09T12:20:00Z,2010-12,2010-Q4,5,40,5,226.79999999999998,5.03,47.6,4,Unknown,Divorced,Undergrad,Afternoon,Medium Value
538011,14896,United Kingdom,2010-12-09T12:24:00Z,2010-12,2010-Q4,32,184,32,257.22,2.33875,43.28125,5,Doctor,Married,Postgrad,Afternoon,Medium Value
538012,14527,United Kingdom,2010-12-09T12:32:00Z,2010-12,2010-Q4,29,48,29,224.38,4.891034482758621,42.51724137931034,3,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
538013,17062,United Kingdom,2010-12-09T12:37:00Z,2010-12,2010-Q4,13,95,12,114.79,2.1484615384615386,43.53846153846154,1,Unknown,Single,Undergrad,Afternoon,Medium Value
538014,14440,United Kingdom,2010-12-09T12:49:00Z,2010-12,2010-Q4,13,150,13,656.7,4.688461538461539,41.38461538461539,5,Pharmacist,Widow,Postgrad,Afternoon,High Value
538015,13240,United Kingdom,2010-12-09T12:49:00Z,2010-12,2010-Q4,21,131,21,224.07,2.775238095238095,38.714285714285715,5,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
538032,14479,United Kingdom,2010-12-09T12:59:00Z,2010-12,2010-Q4,10,58,10,174.4,3.5500000000000003,37.4,3,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
538035,16065,United Kingdom,2010-12-09T13:03:00Z,2010-12,2010-Q4,74,231,71,372.09,1.8732432432432433,40.689189189189186,5,Unknown,Single,Undergrad,Afternoon,High Value
538037,17430,United Kingdom,2010-12-09T13:05:00Z,2010-12,2010-Q4,5,60,5,112.6,2.68,47.2,4,Doctor,Widow,Postgrad,Afternoon,Medium Value
538040,16520,United Kingdom,2010-12-09T13:08:00Z,2010-12,2010-Q4,60,217,60,325.76,2.248,45.85,3,Doctor,Widow,Postgrad,Afternoon,High Value
538048,15945,United Kingdom,2010-12-09T13:14:00Z,2010-12,2010-Q4,2,52,2,181,2.75,53.5,4,Unknown,Married,Postgrad,Afternoon,Medium Value
538049,12748,United Kingdom,2010-12-09T13:21:00Z,2010-12,2010-Q4,5,8,5,18.4,2.59,40.2,5,Doctor,Widow,Postgrad,Afternoon,Low Value
538050,12748,United Kingdom,2010-12-09T13:22:00Z,2010-12,2010-Q4,1,2,1,15.9,7.95,27,2,Artist,Divorced,Undergrad,Afternoon,Low Value
538051,18041,United Kingdom,2010-12-09T13:24:00Z,2010-12,2010-Q4,29,154,26,205.35,1.903448275862069,43.89655172413793,1,Unknown,Married,Undergrad,Afternoon,Medium Value
538053,15856,United Kingdom,2010-12-09T13:34:00Z,2010-12,2010-Q4,30,675,30,1571.32,2.731333333333333,45.43333333333333,3,Unknown,Married,Postgrad,Afternoon,Very High Value
538056,17198,United Kingdom,2010-12-09T13:34:00Z,2010-12,2010-Q4,24,118,24,249.65,3.39375,40.208333333333336,3,Doctor,Married,Postgrad,Afternoon,Medium Value
538057,13102,United Kingdom,2010-12-09T13:38:00Z,2010-12,2010-Q4,11,210,11,316.82,1.8845454545454545,43.45454545454545,5,Pharmacist,Married,Postgrad,Afternoon,High Value
538063,18102,United Kingdom,2010-12-09T13:44:00Z,2010-12,2010-Q4,1,96,1,1914.2400000000002,19.94,40,3,Doctor,Married,Postgrad,Afternoon,Very High Value
538064,15271,United Kingdom,2010-12-09T13:47:00Z,2010-12,2010-Q4,24,78,24,111.75,1.4666666666666668,42.541666666666664,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
538065,13982,United Kingdom,2010-12-09T13:57:00Z,2010-12,2010-Q4,23,208,23,428.6,2.534782608695652,40.391304347826086,4,Pharmacist,Married,Postgrad,Afternoon,High Value
538067,15288,United Kingdom,2010-12-09T13:59:00Z,2010-12,2010-Q4,26,66,26,165.65,3.0346153846153845,42.34615384615385,1,Unknown,Married,Postgrad,Afternoon,Medium Value
538068,17978,United Kingdom,2010-12-09T14:05:00Z,2010-12,2010-Q4,12,499,12,300.92,2.3633333333333333,42.666666666666664,2,Unknown,Single,Undergrad,Afternoon,High Value
538069,16795,United Kingdom,2010-12-09T14:08:00Z,2010-12,2010-Q4,66,239,64,414.88,2.20530303030303,41.34848484848485,2,Unknown,Divorced,Postgrad,Afternoon,High Value
538070,16519,United Kingdom,2010-12-09T14:08:00Z,2010-12,2010-Q4,5,24,5,103.7,6.12,37.6,5,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
538073,17816,United Kingdom,2010-12-09T14:10:00Z,2010-12,2010-Q4,10,16,10,16.21,1.091,33.2,4,Business,Single,Postgrad,Afternoon,Low Value
538076,15311,United Kingdom,2010-12-09T14:15:00Z,2010-12,2010-Q4,14,141,14,272.36,3.4614285714285713,41.42857142857143,4,Consultant,Married,Undergrad,Afternoon,Medium Value
538077,14667,United Kingdom,2010-12-09T14:19:00Z,2010-12,2010-Q4,48,394,46,686.15,2.55375,41.958333333333336,4,Business,Single,Undergrad,Afternoon,High Value
538078,16255,United Kingdom,2010-12-09T14:25:00Z,2010-12,2010-Q4,26,173,26,374.25,4.894230769230769,43.76923076923077,3,Pharmacist,Widow,Postgrad,Afternoon,High Value
538079,17671,United Kingdom,2010-12-09T14:27:00Z,2010-12,2010-Q4,17,190,17,394.18,3.1194117647058826,40.64705882352941,4,Pharmacist,Widow,Postgrad,Afternoon,High Value
538080,17646,United Kingdom,2010-12-09T14:28:00Z,2010-12,2010-Q4,9,110,9,251,3.2555555555555555,45.111111111111114,3,Doctor,Widow,Postgrad,Afternoon,Medium Value
538086,12872,United Kingdom,2010-12-09T14:44:00Z,2010-12,2010-Q4,38,203,38,378.53000000000003,2.61,41.1578947368421,2,Unknown,Single,Undergrad,Afternoon,High Value
538087,17339,United Kingdom,2010-12-09T14:44:00Z,2010-12,2010-Q4,4,16,4,60,3.75,38.75,3,Pharmacist,Married,Postgrad,Afternoon,Low Value
538093,12682,France,2010-12-09T14:49:00Z,2010-12,2010-Q4,33,344,33,739.05,2.793939393939394,41.39393939393939,3,Pharmacist,Married,Postgrad,Afternoon,High Value
538094,13117,United Kingdom,2010-12-09T14:50:00Z,2010-12,2010-Q4,11,85,11,186.03,7.619090909090909,37.63636363636363,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
538095,17097,Spain,2010-12-09T14:55:00Z,2010-12,2010-Q4,40,67,40,174.72,3.22425,40.9,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
538097,15192,United Kingdom,2010-12-09T14:56:00Z,2010-12,2010-Q4,15,196,15,315,3.29,41.2,5,Pharmacist,Widow,Postgrad,Afternoon,High Value
538101,15380,United Kingdom,2010-12-09T15:01:00Z,2010-12,2010-Q4,1,78,1,230.10000000000002,2.95,46,4,Consultant,Married,Undergrad,Afternoon,Medium Value
538104,17950,United Kingdom,2010-12-09T15:16:00Z,2010-12,2010-Q4,26,129,26,190.35,2.3115384615384618,40.84615384615385,4,Unknown,Divorced,Postgrad,Afternoon,Medium Value
538106,17950,United Kingdom,2010-12-09T15:20:00Z,2010-12,2010-Q4,13,57,13,72.82000000000001,2.310769230769231,42.92307692307692,5,Doctor,Married,Postgrad,Afternoon,Low Value
538107,12826,United Kingdom,2010-12-09T15:21:00Z,2010-12,2010-Q4,9,80,9,155,2.4722222222222223,43.44444444444444,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
538108,17456,United Kingdom,2010-12-09T15:23:00Z,2010-12,2010-Q4,17,222,17,249.85999999999999,1.5076470588235293,43.94117647058823,4,Doctor,Married,Postgrad,Afternoon,Medium Value
538113,15811,United Kingdom,2010-12-09T15:29:00Z,2010-12,2010-Q4,16,95,16,289.85,3.69375,44.3125,4,Doctor,Widow,Postgrad,Afternoon,Medium Value
538116,13327,United Kingdom,2010-12-09T15:32:00Z,2010-12,2010-Q4,18,240,18,685,3.138888888888889,41.833333333333336,3,Pharmacist,Widow,Postgrad,Afternoon,High Value
538117,13327,United Kingdom,2010-12-09T15:33:00Z,2010-12,2010-Q4,3,36,3,60,1.6666666666666667,51.333333333333336,5,Pharmacist,Widow,Postgrad,Afternoon,Low Value
538120,17017,United Kingdom,2010-12-09T15:35:00Z,2010-12,2010-Q4,2,150,2,144.5,1.085,33.5,4,Pharmacist,Widow,Postgrad,Afternoon,Medium Value
538125,18225,United Kingdom,2010-12-09T15:46:00Z,2010-12,2010-Q4,2,16,2,30,2.5,44.5,3,Doctor,Widow,Postgrad,Afternoon,Low Value
538126,17838,United Kingdom,2010-12-09T15:50:00Z,2010-12,2010-Q4,12,78,11,218.4,5.070833333333334,39,5,Pharmacist,Married,Postgrad,Afternoon,Medium Value
538145,15211,United Kingdom,2010-12-09T16:08:00Z,2010-12,2010-Q4,23,117,23,383.07,5.164782608695652,43.69565217391305,5,Doctor,Married,Postgrad,Afternoon,High Value
538146,15596,United Kingdom,2010-12-09T16:10:00Z,2010-12,2010-Q4,21,168,21,402.32,4.461428571428572,39.19047619047619,5,Pharmacist,Widow,Postgrad,Afternoon,High Value
538147,13090,United Kingdom,2010-12-09T16:11:00Z,2010-12,2010-Q4,1,1,1,15,15,39,3,Manager,Married,Postgrad,Afternoon,Low Value
538151,16163,United Kingdom,2010-12-09T16:28:00Z,2010-12,2010-Q4,5,92,5,441.6,4.92,36.4,5,Pharmacist,Married,Postgrad,Afternoon,High Value
538155,16907,United Kingdom,2010-12-09T16:52:00Z,2010-12,2010-Q4,34,68,33,182.02,2.6629411764705884,46.94117647058823,3,Unknown,Single,Postgrad,Afternoon,Medium Value
538156,15555,United Kingdom,2010-12-09T16:53:00Z,2010-12,2010-Q4,37,202,37,620.35,3.366216216216216,39.729729729729726,3,Pharmacist,Married,Postgrad,Afternoon,High Value
538157,17576,United Kingdom,2010-12-09T16:57:00Z,2010-12,2010-Q4,12,57,12,119.65,2.566666666666667,38.416666666666664,4,Pharmacist,Married,Postgrad,Afternoon,Medium Value
538163,17841,United Kingdom,2010-12-09T17:27:00Z,2010-12,2010-Q4,46,116,45,257.95,3.2619565217391306,40.630434782608695,4,Doctor,Married,Postgrad,Evening,Medium Value
538165,14031,United Kingdom,2010-12-09T17:34:00Z,2010-12,2010-Q4,3,154,3,185.82,1.42,41,3,Doctor,Married,Postgrad,Evening,Medium Value
538166,17965,United Kingdom,2010-12-09T18:09:00Z,2010-12,2010-Q4,17,48,16,119.45,4.014705882352941,43.23529411764706,3,Doctor,Widow,Postgrad,Evening,Medium Value
538167,14713,United Kingdom,2010-12-09T18:58:00Z,2010-12,2010-Q4,25,125,25,298.95,3.046,42.28,4,Doctor,Married,Postgrad,Evening,Medium Value
538168,14702,United Kingdom,2010-12-09T19:23:00Z,2010-12,2010-Q4,30,167,29,318.7,2.2983333333333333,40.166666666666664,5,Pharmacist,Married,Postgrad,Evening,High Value
538169,13230,United Kingdom,2010-12-09T19:28:00Z,2010-12,2010-Q4,13,33,13,93.45,3.0153846153846153,38.84615384615385,5,Pharmacist,Married,Postgrad,Evening,Low Value
538170,13969,United Kingdom,2010-12-09T19:32:00Z,2010-12,2010-Q4,25,133,25,317.59000000000003,2.8216,42.92,5,Doctor,Widow,Postgrad,Evening,High Value
538171,17530,United Kingdom,2010-12-09T20:01:00Z,2010-12,2010-Q4,65,194,65,300.64,2.5473846153846154,42.184615384615384,4,Pharmacist,Widow,Postgrad,Evening,High Value
538172,15805,United Kingdom,2010-12-10T09:33:00Z,2010-12,2010-Q4,11,212,11,370.8,1.9727272727272727,45.81818181818182,5,Pharmacist,Married,Postgrad,Morning,High Value
538174,12471,Germany,2010-12-10T09:35:00Z,2010-12,2010-Q4,47,1075,46,1982.4099999999999,2.98531914893617,41.808510638297875,4,Pharmacist,Widow,Postgrad,Morning,Very High Value
538175,12471,Germany,2010-12-10T09:48:00Z,2010-12,2010-Q4,1,21,1,378,18,28,1,Freelancer,Single,Undergrad,Morning,High Value
538176,17675,United Kingdom,2010-12-10T09:48:00Z,2010-12,2010-Q4,4,152,4,402,2.975,32.5,4,Unknown,Divorced,Undergrad,Morning,High Value
538178,17696,United Kingdom,2010-12-10T09:51:00Z,2010-12,2010-Q4,6,82,6,157.9,2.9366666666666665,48.5,3,Pharmacist,Married,Postgrad,Morning,Medium Value
538179,17696,United Kingdom,2010-12-10T09:52:00Z,2010-12,2010-Q4,1,6,1,17.700000000000003,2.95,31,5,Pharmacist,Widow,Postgrad,Morning,Low Value
538180,13418,United Kingdom,2010-12-10T09:53:00Z,2010-12,2010-Q4,10,178,10,369.09999999999997,2.925,45,3,Doctor,Widow,Postgrad,Morning,High Value
538181,17076,United Kingdom,2010-12-10T10:08:00Z,2010-12,2010-Q4,7,58,7,151.5,4.835714285714285,42.57142857142857,3,Doctor,Married,Postgrad,Morning,Medium Value
538182,17827,United Kingdom,2010-12-10T10:18:00Z,2010-12,2010-Q4,10,40,9,115.08000000000001,3.1590000000000003,42.1,3,Doctor,Widow,Postgrad,Morning,Medium Value
538183,16265,United Kingdom,2010-12-10T10:21:00Z,2010-12,2010-Q4,32,279,32,651.83,3.288125,40.09375,3,Doctor,Married,Postgrad,Morning,High Value
538184,17880,United Kingdom,2010-12-10T10:21:00Z,2010-12,2010-Q4,26,314,26,458.92,2.4615384615384617,39.23076923076923,4,Pharmacist,Married,Postgrad,Morning,High Value
538185,16265,United Kingdom,2010-12-10T10:22:00Z,2010-12,2010-Q4,6,90,6,188.98,3.7866666666666666,37,5,Unknown,Married,Postgrad,Morning,Medium Value
538186,13000,United Kingdom,2010-12-10T10:26:00Z,2010-12,2010-Q4,11,77,11,201.75,4.163636363636364,37.36363636363637,4,Doctor,Married,Postgrad,Morning,Medium Value
538187,16499,United Kingdom,2010-12-10T10:27:00Z,2010-12,2010-Q4,10,68,10,218.10000000000002,4.625,44.7,4,Doctor,Married,Postgrad,Morning,Medium Value
538190,17790,United Kingdom,2010-12-10T10:47:00Z,2010-12,2010-Q4,10,56,10,127.9,3.165,46.5,4,Pharmacist,Widow,Postgrad,Morning,Medium Value
538191,15061,United Kingdom,2010-12-10T10:49:00Z,2010-12,2010-Q4,16,1559,16,5375.28,3.218125,39.1875,5,Unknown,Divorced,Postgrad,Morning,Very High Value
538192,15061,United Kingdom,2010-12-10T10:50:00Z,2010-12,2010-Q4,1,20,1,135,6.75,25,2,Artist,Divorced,Undergrad,Morning,Medium Value
538193,15061,United Kingdom,2010-12-10T10:51:00Z,2010-12,2010-Q4,1,10,1,67.5,6.75,34,1,Artist,Single,Undergrad,Morning,Low Value
538194,17790,United Kingdom,2010-12-10T10:52:00Z,2010-12,2010-Q4,1,1,1,0.95,0.95,32,4,Doctor,Married,Postgrad,Morning,Low Value
538195,15061,United Kingdom,2010-12-10T10:52:00Z,2010-12,2010-Q4,2,50,2,337.5,6.75,28,1,Designer,Divorced,Undergrad,Morning,High Value
